Poll,Year,Date,Biden,Sanders,Warren,Harris,Buttigieg,O'Rourke,Yang,Booker,Gabbard,Klobuchar,Castro
RCP Average,2019,7/14 - 7/13,27.8,15,15,13.4,4.8,2.6,1.6,1.6,1.4,1,1
Politico/Morning Consult,2019,7/13 - 7/13,32,19,14,13,5,3,2,2,1,1,1
The Hill/HarrisX,2019,7/12 - 7/13,29,16,9,11,1,3,0,1,1,1,1
NBC News/Wall St. Jrnl,2019,7/7 - 7/9,26,13,19,13,7,2,2,1,0,1,1
Economist/YouGov,2019,7/7 - 7/9,22,12,18,15,6,1,1,2,3,1,2
Emerson,2019,7/6 - 7/8,30,15,15,15,5,4,3,2,2,1,0
Politico/Morning Consult,2019,7/1 - 7/7,31,19,13,14,6,3,1,2,1,1,1
Economist/YouGov,2019,6/30 - 7/2,23,9,19,15,8,2,1,2,1,0,1
ABC News/Wash Post,2019,6/28 - 7/1,30,19,12,13,4,2,0,1,1,2,3
Quinnipiac,2019,6/28 - 7/1,22,13,14,20,4,1,1,3,1,1,1
The Hill/HarrisX,2019,6/29 - 6/30,33,15,9,11,6,4,1,2,1,0,1
CNN,2019,6/28 - 6/30,22,14,15,17,4,3,1,3,1,2,1
Harvard-Harris,2019,6/26 - 6/29,34,15,11,9,3,2,1,3,2,1,1
Politico/Morning Consult,2019,6/27 - 6/28,33,19,12,12,6,2,2,3,1,1,1
Economist/YouGov,2019,6/22 - 6/25,25,15,19,7,6,3,1,1,3,0,1
Emerson,2019,6/21 - 6/24,34,27,14,7,6,1,1,3,0,1,0
Politico/Morning Consult,2019,6/17 - 6/23,38,19,13,6,7,4,2,3,1,1,1
Economist/YouGov,2019,6/16 - 6/18,26,12,16,7,9,3,1,2,1,1,1
Monmouth,2019,6/12 - 6/17,32,14,15,8,5,3,2,2,1,1,0
The Hill/HarrisX,2019,6/14 - 6/15,35,13,7,5,4,6,0,3,0,1,2
Politico/Morning Consult,2019,6/10 - 6/16,38,19,11,7,7,4,1,3,1,1,1
USA Today/Suffolk,2019,6/11 - 6/15,30,15,10,8,9,2,1,2,0,0,1
FOX News,2019,6/9 - 6/12,32,13,9,8,8,4,2,3,1,2,1
Economist/YouGov,2019,6/9 - 6/11,27,12,16,7,8,3,1,2,0,0,1
Quinnipiac,2019,6/6 - 6/10,30,19,15,7,8,3,1,1,0,1,0
Politico/Morning Consult,2019,6/3 - 6/9,37,19,11,7,7,4,1,3,1,2,1
Economist/YouGov,2019,6/2 - 6/4,27,15,12,9,10,2,1,2,1,1,0
The Hill/HarrisX,2019,6/1 - 6/2,35,16,5,4,8,4,0,3,0,1,0
Politico/Morning Consult,2019,5/27 - 6/2,38,19,10,7,7,4,1,3,1,1,1
CNN,2019,5/28 - 5/31,32,18,7,8,5,5,1,3,1,2,2
Harvard-Harris,2019,5/29 - 5/30,36,17,5,8,5,4,1,3,0,0,1
Politico/Morning Consult,2019,5/20 - 5/26,38,20,9,7,7,4,1,3,1,1,1
Monmouth,2019,5/16 - 5/20,33,15,10,11,6,4,1,1,1,3,1
The Hill/HarrisX,2019,5/17 - 5/18,33,14,8,6,6,5,1,1,0,1,1
Quinnipiac,2019,5/16 - 5/20,35,16,13,8,5,2,1,3,1,2,1
Politico/Morning Consult,2019,5/13 - 5/20,39,19,9,8,6,4,1,3,1,1,1
FOX News,2019,5/11 - 5/14,35,17,9,5,6,4,1,3,1,2,2
Emerson,2019,5/10 - 5/13,33,25,10,10,8,3,1,1,1,1,2
Politico/Morning Consult,2019,5/6 - 5/12,39,19,8,8,6,5,1,3,1,2,1
The Hill/HarrisX,2019,5/3 - 5/4,46,14,7,6,8,3,1,3,1,0,1
Politico/Morning Consult,2019,4/29 - 5/5,40,19,8,7,6,5,1,3,1,2,1
Harvard-Harris,2019,4/30 - 5/1,44,14,5,9,2,3,0,3,0,2,0
Quinnipiac,2019,4/26 - 4/29,38,11,12,8,10,5,1,2,0,1,1
CNN,2019,4/25 - 4/28,39,15,8,5,7,6,1,2,2,2,1
Politico/Morning Consult,2019,4/22 - 4/28,36,22,9,7,8,5,2,3,1,2,1
Monmouth,2019,4/11 - 4/15,27,20,6,8,8,4,0,2,0,1,0
Politico/Morning Consult,2019,4/15 - 4/21,30,24,7,8,9,6,2,4,1,2,1
Emerson,2019,4/11 - 4/14,24,29,7,8,9,8,3,2,1,1,3
Politico/Morning Consult,2019,4/8 - 4/14,31,23,7,9,7,8,1,4,1,2,1
