Time,Corker,Kasich,Other,Pence,Rubio,Trump
2019-03-22 12:33:24.390054,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 12:40:29.089103,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 12:47:29.066370,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 12:48:29.329230,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 12:51:24.002588,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 13:02:52.785865,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 13:03:17.939874,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 13:03:37.498423,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 13:15:08.459293,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 13:15:30.184974,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 13:18:31.804432,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 13:24:15.686609,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 13:25:10.862376,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 13:25:23.356149,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 13:30:59.755137,1.2,2.8,15.3,3.8,1.7,75.2
2019-03-22 13:35:22.619603,1.2,2.8,15.3,3.8,1.7,75.2
2019-03-22 13:35:49.596013,1.2,2.8,15.3,3.8,1.7,75.2
2019-03-22 13:37:22.089185,1.2,2.8,15.3,3.8,1.7,75.2
2019-03-22 13:38:35.569026,1.2,2.8,15.3,3.8,1.7,75.2
2019-03-22 13:43:15.840256,1.2,2.8,15.3,3.8,1.7,75.2
2019-03-22 13:46:31.195425,1.2,2.8,15.3,3.8,1.7,75.2
2019-03-22 13:49:36.323724,1.2,2.8,15.3,3.8,1.7,75.2
2019-03-22 13:50:42.931157,1.2,2.8,15.3,3.8,1.7,75.2
2019-03-22 13:51:00.365511,1.2,2.8,15.3,3.8,1.7,75.2
2019-03-22 13:51:20.831019,1.2,2.8,15.3,3.8,1.7,75.2
2019-03-22 13:51:37.466828,1.2,2.8,15.3,3.8,1.7,75.2
2019-03-22 13:52:02.122377,1.2,2.8,15.3,3.8,1.7,75.2
2019-03-22 13:53:45.652722,1.2,2.8,15.3,3.8,1.7,75.2
2019-03-22 14:00:38.302675,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:01:02.630307,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:01:41.595072,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:02:11.777916,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:02:39.854346,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:03:56.984401,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:04:29.975042,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:04:59.520507,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:06:10.106817,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:07:02.771552,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:07:30.457696,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:09:21.802745,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:09:43.759353,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:10:13.913810,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:10:32.010614,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:10:48.237379,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:12:05.081960,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:12:24.218447,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:17:58.869569,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:21:33.985107,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:22:02.746969,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:22:53.511302,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:24:41.310481,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 14:24:49.054935,1.2,2.8,15.6,3.8,1.7,74.9
2019-03-22 22:46:04.815496,0.5,1.6,17.1,3.4,1.1,76.4
2019-03-22 22:48:00.836777,0.5,1.6,17.1,3.4,1.1,76.4
2019-03-22 22:51:20.218886,0.5,1.6,17.1,3.4,1.1,76.4
2019-03-22 22:58:42.931557,0.5,1.6,17.1,3.4,1.1,76.4
2019-03-22 22:59:11.019059,0.5,1.6,17.1,3.4,1.1,76.4
2019-03-22 23:01:53.619740,0.5,1.6,17.1,3.4,1.1,76.4
2019-03-23 08:35:59.424738,0.5,1.6,17.4,2,1.1,77.5
2019-03-23 12:41:49.969582,0.5,1.6,17.3,2.1,1.1,77.5
2019-03-23 12:45:17.543897,0.5,1.6,14.7,2.1,1.1,80.1
2019-03-23 12:48:17.476954,0.5,1.6,14.4,2.1,1.1,80.4
2019-03-23 12:53:03.436394,0.5,1.6,14.4,2.1,1.1,80.4
2019-03-23 12:56:46.217275,0.5,1.6,14.4,2.1,1.1,80.4
2019-03-24 14:45:48.821100,0.5,1.6,12.5,2.1,1.1,82.3
2019-03-25 14:20:52.393398,0.5,1.6,13.3,2.4,0.6,81.6
2019-03-27 12:40:27.397397,0.5,1.6,11.3,1.6,0.6,84.4
2019-03-27 13:12:42.096003,0.5,1.6,10.6,1.6,0.6,85.1
2019-03-27 13:18:36.175263,0.5,1.6,10.6,1.6,0.6,85.1
2019-03-27 13:20:05.107110,0.5,1.6,10.2,1.6,0.6,85.5
2019-03-27 13:20:32.765805,0.5,1.6,10.2,1.6,0.6,85.5
2019-03-27 13:25:02.804287,0.5,1.6,10.2,1.6,0.6,85.5
2019-03-27 13:25:39.901535,0.5,1.6,10.2,1.6,0.6,85.5
2019-03-27 13:26:07.251376,0.5,1.6,10.2,1.6,0.6,85.5
2019-03-27 13:26:55.888171,0.5,1.6,10.2,1.6,0.6,85.5
2019-03-27 13:27:32.507000,0.5,1.6,10.2,1.6,0.6,85.5
2019-03-27 13:27:45.741305,0.5,1.6,10.2,1.6,0.6,85.5
2019-03-27 13:30:17.332863,0.5,1.6,10.2,1.6,0.6,85.5
2019-03-27 13:30:43.254536,0.5,1.6,10.2,1.6,0.6,85.5
2019-03-27 13:33:09.400113,0.5,1.6,10.2,1.6,0.6,85.5
2019-03-27 13:34:18.256521,0.5,1.6,10.2,1.6,0.6,85.5
2019-03-27 13:36:46.141576,0.5,1.6,10.2,1.6,0.6,85.5
2019-03-27 13:38:02.189080,0.5,1.6,10.2,1.6,0.6,85.5
2019-03-27 13:39:18.176528,0.5,1.6,10.2,1.6,0.6,85.5
2019-03-27 13:39:36.110942,0.5,1.6,10.2,1.6,0.6,85.5
2019-03-27 13:44:08.428425,0.5,1.6,10.2,1.6,0.6,85.5
2019-03-27 13:44:25.680395,0.5,1.6,10.2,1.6,0.6,85.5
2019-03-29 13:33:17.017561,0.5,1.7,8.7,3,0.6,85.5
2019-03-29 13:33:43.467522,0.5,1.7,8.7,3,0.6,85.5
2019-03-29 13:41:59.542025,0.5,1.7,8.7,3,0.6,85.5
2019-03-29 13:45:23.850712,0.5,1.7,8.7,3,0.6,85.5
2019-03-29 13:48:52.568053,0.5,1.7,8.7,3,0.6,85.5
2019-03-29 13:53:53.701513,0.5,1.7,8.7,3,0.6,85.5
2019-03-29 13:54:50.462947,0.5,1.7,8.7,3,0.6,85.5
2019-03-29 13:56:59.304313,0.5,1.7,8.7,3,0.6,85.5
2019-03-29 13:59:03.568164,0.5,1.7,8.7,3,0.6,85.5
2019-03-29 14:01:53.674972,0.5,1.7,8.7,3,0.6,85.5
2019-03-29 14:02:59.469639,0.5,1.7,8.7,3,0.6,85.5
2019-03-29 14:04:52.111587,0.5,1.7,9.1,3,0.6,85.1
2019-03-29 14:05:49.046478,0.5,1.7,9.1,3,0.6,85.1
2019-03-29 14:07:00.551677,0.5,1.7,9.1,3,0.6,85.1
2019-03-31 12:45:16.226027,0.5,1.7,9.8,2,0.6,85.5
2019-03-31 12:47:06.309123,0.5,1.7,9.8,2,0.6,85.5
2019-03-31 17:34:03.747628,0.5,1.7,9.8,2,0.6,85.5
2019-03-31 20:20:46.135986,0.5,1.7,9.8,2,0.6,85.5
2019-04-01 10:15:44.390505,0.5,1.7,10.9,2,0.6,84.4
2019-04-01 10:19:00.037861,0.5,1.7,10.9,2,0.6,84.4
2019-04-01 11:07:36.917546,0.5,1.7,10.9,2,0.6,84.4
2019-04-01 11:27:27.655720,0.5,1.7,10.9,2,0.6,84.4
2019-04-01 11:39:48.684153,0.5,1.7,10.9,2,0.6,84.4
2019-04-01 13:49:51.780688,0.5,1.7,10.5,2,0.6,84.8
2019-04-01 13:51:58.781199,0.5,1.7,10.5,2,0.6,84.8
2019-04-01 14:09:19.963272,0.5,1.7,10.5,2,0.6,84.8
2019-04-01 14:35:53.075161,0.5,1.7,10.5,2,0.6,84.8
2019-04-01 14:43:44.992243,0.6,1.7,10.5,2.0,0.5,84.8
2019-04-01 17:07:06.800350,0.6,1.7,10.9,2.0,0.5,84.4
2019-04-01 17:20:04.650220,0.6,1.7,10.9,2.0,0.5,84.4
2019-04-01 18:41:22.992206,0.6,1.7,10.9,2.0,0.5,84.4
2019-04-01 18:43:37.661606,0.6,1.7,10.9,2.0,0.5,84.4
2019-04-01 18:45:59.547098,0.6,1.7,10.9,2.0,0.5,84.4
