Date,Daily Followers Gained,Total Follower Count,Daily Followed Users,Total Followed Users,Daily Tweets Posted,Total Tweets Posted,Name
2016-06-22,8700,2630146,1,1491,12,8855,BernieSanders
2016-06-23,8300,2638446,0,1491,17,8872,BernieSanders
2016-06-24,9113,2647559,0,1491,11,8883,BernieSanders
2016-06-25,8067,2655626,0,1491,5,8888,BernieSanders
2016-06-26,7116,2662742,0,1491,10,8898,BernieSanders
2016-06-27,7752,2670494,0,1491,7,8905,BernieSanders
2016-06-28,8143,2678637,0,1491,13,8918,BernieSanders
2016-06-29,4552,2683189,0,1491,4,8922,BernieSanders
2016-06-30,11669,2694858,0,1491,11,8933,BernieSanders
2016-07-01,7364,2702222,-1,1490,9,8942,BernieSanders
2016-07-02,6156,2708378,0,1490,8,8950,BernieSanders
2016-07-03,6792,2715170,0,1490,9,8959,BernieSanders
2016-07-04,8090,2723260,0,1490,5,8964,BernieSanders
2016-07-05,9228,2732488,0,1490,18,8982,BernieSanders
2016-07-06,7050,2739538,1,1491,12,8994,BernieSanders
2016-07-07,11076,2750614,-2,1489,14,9008,BernieSanders
2016-07-08,12096,2762710,0,1489,9,9017,BernieSanders
2016-07-09,7094,2769804,0,1489,14,9031,BernieSanders
2016-07-10,6566,2776370,0,1489,10,9041,BernieSanders
2016-07-11,6509,2782879,0,1489,6,9047,BernieSanders
2016-07-12,8907,2791786,1,1490,15,9062,BernieSanders
2016-07-13,5715,2797501,0,1490,11,9073,BernieSanders
2016-07-14,7841,2805342,0,1490,8,9081,BernieSanders
2016-07-15,7637,2812979,0,1490,5,9086,BernieSanders
2016-07-16,7470,2820449,0,1490,6,9092,BernieSanders
2016-07-17,7495,2827944,0,1490,3,9095,BernieSanders
2016-07-18,-370,2827574,0,1490,6,9101,BernieSanders
2016-07-19,13709,2841283,0,1490,7,9108,BernieSanders
2016-07-20,15017,2856300,0,1490,8,9116,BernieSanders
2016-07-21,10884,2867184,0,1490,7,9123,BernieSanders
2016-07-22,38590,2905774,1,1491,27,9150,BernieSanders
2016-07-23,14355,2920129,0,1491,5,9155,BernieSanders
2016-07-24,14784,2934913,-1,1490,7,9162,BernieSanders
2016-07-25,19825,2954738,0,1490,7,9169,BernieSanders
2016-07-26,56273,3011011,0,1490,21,9190,BernieSanders
2016-07-27,23056,3034067,1,1491,6,9196,BernieSanders
2016-07-28,27668,3061735,0,1491,4,9200,BernieSanders
2016-07-29,33875,3095610,0,1491,4,9204,BernieSanders
2016-07-30,13602,3109212,0,1491,4,9208,BernieSanders
2016-07-31,13310,3122522,0,1491,6,9214,BernieSanders
2016-08-01,12925,3135447,0,1491,6,9220,BernieSanders
2016-08-02,8587,3144034,1,1492,6,9226,BernieSanders
2016-08-03,6972,3151006,0,1492,6,9232,BernieSanders
2016-08-04,6080,3157086,1,1493,6,9238,BernieSanders
2016-08-05,5774,3162860,-1,1492,5,9243,BernieSanders
2016-08-06,6954,3169814,0,1492,8,9251,BernieSanders
2016-08-07,6992,3176806,0,1492,6,9257,BernieSanders
2016-08-08,6711,3183517,-1,1491,3,9260,BernieSanders
2016-08-09,7287,3190804,1,1492,11,9271,BernieSanders
2016-08-10,7419,3198223,0,1492,11,9282,BernieSanders
2016-08-11,9368,3207591,1,1493,9,9291,BernieSanders
2016-08-12,9053,3216644,0,1493,20,9311,BernieSanders
2016-08-13,8240,3224884,0,1493,8,9319,BernieSanders
