Date,Daily Followers Gained,Total Follower Count,Daily Followed Users,Total Followed Users,Daily Tweets Posted,Total Tweets Posted,Name
2016-12-04,114,97812,-6,66441,4,4863,amyklobuchar
2016-12-05,44,97856,21,66462,1,4864,amyklobuchar
2016-12-06,139,97995,49,66511,3,4867,amyklobuchar
2016-12-07,119,98114,46,66557,2,4869,amyklobuchar
2016-12-08,180,98294,128,66685,5,4874,amyklobuchar
2016-12-09,94,98388,7,66692,3,4877,amyklobuchar
2016-12-10,106,98494,72,66764,3,4880,amyklobuchar
2016-12-11,214,98708,-21,66743,5,4885,amyklobuchar
2016-12-12,321,99029,236,66979,2,4887,amyklobuchar
2016-12-13,202,99231,112,67091,7,4894,amyklobuchar
2016-12-14,25,99256,0,67091,1,4895,amyklobuchar
2016-12-15,283,99539,113,67204,7,4902,amyklobuchar
2016-12-16,148,99687,59,67263,1,4903,amyklobuchar
2016-12-17,123,99810,99,67362,2,4905,amyklobuchar
2016-12-18,110,99920,4,67366,2,4907,amyklobuchar
2016-12-19,131,100051,98,67464,2,4909,amyklobuchar
2016-12-20,82,100133,17,67481,2,4911,amyklobuchar
2016-12-21,102,100235,28,67509,4,4915,amyklobuchar
2016-12-22,29,100264,21,67530,2,4917,amyklobuchar
2016-12-23,73,100337,12,67542,1,4918,amyklobuchar
2016-12-24,123,100460,-4,67538,3,4921,amyklobuchar
2016-12-25,42,100502,16,67554,3,4924,amyklobuchar
2016-12-26,116,100618,14,67568,2,4926,amyklobuchar
2016-12-27,21,100639,-3,67565,0,4926,amyklobuchar
2016-12-28,166,100805,47,67612,1,4927,amyklobuchar
2016-12-29,174,100979,49,67661,3,4930,amyklobuchar
2016-12-30,136,101115,141,67802,3,4933,amyklobuchar
2016-12-31,461,101576,38,67840,3,4936,amyklobuchar
2017-01-01,88,101664,-5,67835,0,4936,amyklobuchar
2017-01-02,130,101794,117,67952,0,4936,amyklobuchar
2017-01-03,458,102252,167,68119,12,4948,amyklobuchar
2017-01-04,81,102333,-6,68113,3,4951,amyklobuchar
2017-01-05,1035,103368,212,68325,4,4955,amyklobuchar
2017-01-06,228,103596,55,68380,4,4959,amyklobuchar
