Date,Daily Followers Gained,Total Follower Count,Daily Followed Users,Total Followed Users,Daily Tweets Posted,Total Tweets Posted,Name
2016-12-09,1832,1385792,0,10,0,1199,joebiden
2016-12-10,1209,1387001,0,10,0,1199,joebiden
2016-12-11,1331,1388332,0,10,0,1199,joebiden
2016-12-12,1038,1389370,0,10,0,1199,joebiden
2016-12-13,1231,1390601,0,10,0,1199,joebiden
2016-12-14,665,1391266,0,10,0,1199,joebiden
2016-12-15,1267,1392533,0,10,0,1199,joebiden
2016-12-16,1000,1393533,0,10,0,1199,joebiden
2016-12-17,925,1394458,0,10,0,1199,joebiden
2016-12-18,872,1395330,0,10,0,1199,joebiden
2016-12-19,1096,1396426,0,10,0,1199,joebiden
2016-12-20,1048,1397474,0,10,0,1199,joebiden
2016-12-21,915,1398389,0,10,0,1199,joebiden
2016-12-22,827,1399216,0,10,0,1199,joebiden
2016-12-23,916,1400132,0,10,0,1199,joebiden
2016-12-24,698,1400830,0,10,0,1199,joebiden
2016-12-25,837,1401667,0,10,0,1199,joebiden
2016-12-26,796,1402463,0,10,0,1199,joebiden
2016-12-27,956,1403419,0,10,0,1199,joebiden
2016-12-28,1046,1404465,0,10,0,1199,joebiden
2016-12-29,847,1405312,0,10,0,1199,joebiden
2016-12-30,847,1406159,0,10,0,1199,joebiden
2016-12-31,894,1407053,0,10,0,1199,joebiden
2017-01-01,535,1407588,0,10,0,1199,joebiden
2017-01-02,1713,1409301,0,10,0,1199,joebiden
2017-01-03,2188,1411489,0,10,0,1199,joebiden
2017-01-04,1524,1413013,0,10,0,1199,joebiden
2017-01-05,1523,1414536,0,10,0,1199,joebiden
2017-01-06,2632,1417168,0,10,0,1199,joebiden
2017-01-07,2075,1419243,0,10,0,1199,joebiden
2017-01-08,395,1419638,0,10,0,1199,joebiden
2017-01-09,259,1419897,0,10,0,1199,joebiden
2017-01-10,361,1420258,0,10,0,1199,joebiden
2017-01-11,2436,1422694,0,10,0,1199,joebiden
2017-01-12,328,1423022,0,10,0,1199,joebiden
2017-01-13,12773,1435795,0,10,0,1199,joebiden
2017-01-14,1175,1436970,0,10,0,1199,joebiden
2017-01-15,1526,1438496,0,10,0,1199,joebiden
2017-01-16,489,1438985,0,10,0,1199,joebiden
2017-01-17,1270,1440255,0,10,0,1199,joebiden
2017-01-18,7368,1447623,0,10,0,1199,joebiden
2017-01-19,3914,1451537,0,10,0,1199,joebiden
2017-01-20,29772,1481309,1,11,0,1199,joebiden
2017-01-21,29631,1510940,1,12,0,1199,joebiden
2017-01-22,6570,1517510,0,12,0,1199,joebiden
2017-01-23,5658,1523168,0,12,0,1199,joebiden
2017-01-24,2889,1526057,0,12,0,1199,joebiden
2017-01-25,2123,1528180,0,12,0,1199,joebiden
2017-01-26,2183,1530363,0,12,0,1199,joebiden
2017-01-27,1522,1531885,0,12,0,1199,joebiden
2017-01-28,1218,1533103,0,12,0,1199,joebiden
2017-01-29,2145,1535248,0,12,0,1199,joebiden
2017-01-30,2024,1537272,0,12,0,1199,joebiden
2017-01-31,1278,1538550,0,12,0,1199,joebiden
2017-02-01,2623,1541173,1,13,3,1202,joebiden
2017-02-02,8888,1550061,0,13,0,1202,joebiden
2017-02-03,8535,1558596,0,13,1,1203,joebiden
2017-02-04,7997,1566593,0,13,0,1203,joebiden
2017-02-05,6695,1573288,0,13,0,1203,joebiden
2017-02-06,19960,1593248,0,13,1,1204,joebiden
2017-02-07,7973,1601221,0,13,0,1204,joebiden
2017-02-08,8636,1609857,0,13,0,1204,joebiden
2017-02-09,9121,1618978,0,13,0,1204,joebiden
2017-02-10,8111,1627089,0,13,0,1204,joebiden
2017-02-11,4244,1631333,1,14,0,1204,joebiden
2017-02-12,3906,1635239,0,14,0,1204,joebiden
2017-02-13,3979,1639218,0,14,0,1204,joebiden
2017-02-14,3005,1642223,0,14,0,1204,joebiden
2017-02-15,6210,1648433,0,14,0,1204,joebiden
2017-02-16,3777,1652210,0,14,0,1204,joebiden
2017-02-17,3533,1655743,0,14,0,1204,joebiden
2017-02-18,2685,1658428,0,14,0,1204,joebiden
2017-02-19,2295,1660723,0,14,0,1204,joebiden
2017-02-20,2707,1663430,0,14,0,1204,joebiden
2017-02-21,2568,1665998,0,14,0,1204,joebiden
2017-02-22,2058,1668056,0,14,0,1204,joebiden
2017-02-23,1987,1670043,0,14,0,1204,joebiden
2017-02-24,2202,1672245,0,14,0,1204,joebiden
2017-02-25,1910,1674155,0,14,0,1204,joebiden
2017-02-26,4104,1678259,0,14,1,1205,joebiden
2017-02-27,2788,1681047,0,14,0,1205,joebiden
2017-02-28,1906,1682953,0,14,0,1205,joebiden
2017-03-01,2841,1685794,0,14,0,1205,joebiden
2017-03-02,2258,1688052,0,14,0,1205,joebiden
2017-03-03,2106,1690158,0,14,0,1205,joebiden
2017-03-04,1879,1692037,0,14,0,1205,joebiden
2017-03-05,2239,1694276,0,14,0,1205,joebiden
2017-03-06,1973,1696249,0,14,0,1205,joebiden
2017-03-07,2410,1698659,0,14,0,1205,joebiden
2017-03-08,2186,1700845,0,14,0,1205,joebiden
2017-03-09,2736,1703581,0,14,1,1206,joebiden
2017-03-10,1863,1705444,0,14,0,1206,joebiden
2017-03-11,1460,1706904,0,14,0,1206,joebiden
2017-03-12,1405,1708309,0,14,0,1206,joebiden
2017-03-13,2217,1710526,0,14,3,1209,joebiden
2017-03-14,1970,1712496,0,14,0,1209,joebiden
2017-03-15,2058,1714554,0,14,0,1209,joebiden
2017-03-16,2013,1716567,0,14,0,1209,joebiden
2017-03-17,2255,1718822,0,14,3,1212,joebiden
2017-03-18,2526,1721348,1,15,0,1212,joebiden
2017-03-19,1928,1723276,0,15,0,1212,joebiden
2017-03-20,2181,1725457,0,15,0,1212,joebiden
2017-03-21,2357,1727814,0,15,0,1212,joebiden
2017-03-22,2333,1730147,0,15,0,1212,joebiden
2017-03-23,3258,1733405,0,15,0,1212,joebiden
2017-03-24,7643,1741048,0,15,1,1213,joebiden
2017-03-25,5781,1746829,0,15,1,1214,joebiden
2017-03-26,2809,1749638,0,15,0,1214,joebiden
2017-03-27,2370,1752008,0,15,0,1214,joebiden
2017-03-28,1799,1753807,0,15,1,1215,joebiden
2017-03-29,3855,1757662,0,15,0,1215,joebiden
2017-03-30,2590,1760252,0,15,4,1219,joebiden
2017-03-31,1807,1762059,1,16,2,1221,joebiden
2017-04-01,1360,1763419,0,16,0,1221,joebiden
2017-04-02,1062,1764481,0,16,0,1221,joebiden
2017-04-03,1061,1765542,0,16,0,1221,joebiden
2017-04-04,1286,1766828,0,16,0,1221,joebiden
2017-04-05,1108,1767936,0,16,0,1221,joebiden
2017-04-06,1202,1769138,0,16,1,1222,joebiden
2017-04-07,1393,1770531,0,16,2,1224,joebiden
2017-04-08,1306,1771837,0,16,3,1227,joebiden
2017-04-09,869,1772706,0,16,0,1227,joebiden
2017-04-10,851,1773557,0,16,0,1227,joebiden
2017-04-11,713,1774270,0,16,0,1227,joebiden
