Date,Daily Followers Gained,Total Follower Count,Daily Followed Users,Total Followed Users,Daily Tweets Posted,Total Tweets Posted,Name
2016-08-16,771,679993,0,297,1,1590,ewarren
2016-08-17,920,680913,0,297,1,1591,ewarren
2016-08-18,696,681609,0,297,0,1591,ewarren
2016-08-19,669,682278,0,297,0,1591,ewarren
2016-08-20,586,682864,0,297,0,1591,ewarren
2016-08-21,533,683397,0,297,0,1591,ewarren
2016-08-22,644,684041,0,297,0,1591,ewarren
2016-08-23,734,684775,0,297,0,1591,ewarren
2016-08-24,672,685447,0,297,0,1591,ewarren
2016-08-25,671,686118,0,297,4,1595,ewarren
2016-08-26,597,686715,0,297,0,1595,ewarren
2016-08-27,479,687194,0,297,3,1598,ewarren
2016-08-28,275,687469,0,297,3,1601,ewarren
2016-08-29,509,687978,0,297,0,1601,ewarren
2016-08-30,507,688485,0,297,0,1601,ewarren
2016-08-31,240,688725,0,297,0,1601,ewarren
2016-09-01,1307,690032,0,297,0,1601,ewarren
2016-09-02,657,690689,0,297,0,1601,ewarren
2016-09-03,610,691299,0,297,0,1601,ewarren
2016-09-04,471,691770,0,297,0,1601,ewarren
2016-09-05,464,692234,0,297,1,1602,ewarren
2016-09-06,435,692669,0,297,0,1602,ewarren
2016-09-07,552,693221,0,297,0,1602,ewarren
2016-09-08,779,694000,0,297,0,1602,ewarren
2016-09-09,711,694711,0,297,2,1604,ewarren
2016-09-10,573,695284,0,297,1,1605,ewarren
2016-09-11,658,695942,0,297,0,1605,ewarren
2016-09-12,551,696493,0,297,1,1606,ewarren
2016-09-13,869,697362,0,297,0,1606,ewarren
2016-09-14,796,698158,0,297,0,1606,ewarren
2016-09-15,631,698789,0,297,0,1606,ewarren
2016-09-16,1115,699904,0,297,2,1608,ewarren
2016-09-17,1546,701450,0,297,2,1610,ewarren
2016-09-18,1114,702564,0,297,1,1611,ewarren
2016-09-19,859,703423,0,297,4,1615,ewarren
2016-09-20,1297,704720,0,297,0,1615,ewarren
2016-09-21,1808,706528,0,297,3,1618,ewarren
2016-09-22,1067,707595,0,297,0,1618,ewarren
2016-09-23,824,708419,0,297,0,1618,ewarren
2016-09-24,734,709153,0,297,3,1621,ewarren
2016-09-25,818,709971,0,297,0,1621,ewarren
2016-09-26,1426,711397,0,297,0,1621,ewarren
2016-09-27,8151,719548,0,297,5,1626,ewarren
2016-09-28,2234,721782,0,297,0,1626,ewarren
2016-09-29,1324,723106,0,297,0,1626,ewarren
2016-09-30,2033,725139,0,297,5,1631,ewarren
