Date,Daily Followers Gained,Total Follower Count,Daily Followed Users,Total Followed Users,Daily Tweets Posted,Total Tweets Posted,Name
2016-07-27,3285,1706879,0,89450,1,55478,CoryBooker
2016-07-28,4060,1710939,-1,89449,41,55519,CoryBooker
2016-07-29,3324,1714263,12,89461,48,55567,CoryBooker
2016-07-30,1514,1715777,24,89485,19,55586,CoryBooker
2016-07-31,1065,1716842,43,89528,80,55666,CoryBooker
2016-08-01,1099,1717941,88,89616,94,55760,CoryBooker
2016-08-02,1868,1719809,30,89646,12,55772,CoryBooker
2016-08-03,1932,1721741,17,89663,24,55796,CoryBooker
2016-08-04,1414,1723155,2,89665,40,55836,CoryBooker
2016-08-05,1422,1724577,16,89681,42,55878,CoryBooker
2016-08-06,1527,1726104,22,89703,38,55916,CoryBooker
2016-08-07,1555,1727659,-1,89702,5,55921,CoryBooker
2016-08-08,1846,1729505,6,89708,19,55940,CoryBooker
2016-08-09,1694,1731199,14,89722,32,55972,CoryBooker
2016-08-10,1231,1732430,17,89739,30,56002,CoryBooker
2016-08-11,1062,1733492,29,89768,30,56032,CoryBooker
2016-08-12,982,1734474,47,89815,31,56063,CoryBooker
2016-08-13,848,1735322,6,89821,2,56065,CoryBooker
2016-08-14,859,1736181,4,89825,14,56079,CoryBooker
2016-08-15,876,1737057,-3,89822,20,56099,CoryBooker
2016-08-16,810,1737867,-2,89820,2,56101,CoryBooker
2016-08-17,698,1738565,-6,89814,1,56102,CoryBooker
2016-08-18,681,1739246,-5,89809,1,56103,CoryBooker
2016-08-19,568,1739814,-6,89803,3,56106,CoryBooker
2016-08-20,589,1740403,-5,89798,9,56115,CoryBooker
2016-08-21,690,1741093,-3,89795,2,56117,CoryBooker
2016-08-22,686,1741779,-4,89791,1,56118,CoryBooker
2016-08-23,696,1742475,2,89793,1,56119,CoryBooker
2016-08-24,748,1743223,-7,89786,2,56121,CoryBooker
2016-08-25,748,1743971,-3,89783,0,56121,CoryBooker
2016-08-26,737,1744708,-2,89781,2,56123,CoryBooker
2016-08-27,677,1745385,1,89782,1,56124,CoryBooker
2016-08-28,683,1746068,-5,89777,1,56125,CoryBooker
2016-08-29,845,1746913,-8,89769,1,56126,CoryBooker
2016-08-30,770,1747683,-3,89766,1,56127,CoryBooker
2016-08-31,254,1747937,-3,89763,0,56127,CoryBooker
2016-09-01,1553,1749490,4,89767,16,56143,CoryBooker
2016-09-02,863,1750353,0,89767,0,56143,CoryBooker
2016-09-03,921,1751274,4,89771,12,56155,CoryBooker
2016-09-04,784,1752058,0,89771,0,56155,CoryBooker
2016-09-05,800,1752858,-2,89769,0,56155,CoryBooker
2016-09-06,257,1753115,-3,89766,3,56158,CoryBooker
2016-09-07,852,1753967,1,89767,1,56159,CoryBooker
2016-09-08,543,1754510,1,89768,11,56170,CoryBooker
2016-09-09,638,1755148,-4,89764,1,56171,CoryBooker
2016-09-10,708,1755856,-7,89757,3,56174,CoryBooker
2016-09-11,767,1756623,26,89783,25,56199,CoryBooker
2016-09-12,779,1757402,-5,89778,2,56201,CoryBooker
2016-09-13,1306,1758708,10,89788,30,56231,CoryBooker
2016-09-14,1296,1760004,11,89799,6,56237,CoryBooker
2016-09-15,968,1760972,2,89801,21,56258,CoryBooker
2016-09-16,909,1761881,-10,89791,3,56261,CoryBooker
2016-09-17,884,1762765,6,89797,13,56274,CoryBooker
2016-09-18,1217,1763982,1,89798,6,56280,CoryBooker
2016-09-19,1243,1765225,17,89815,19,56299,CoryBooker
2016-09-20,1303,1766528,2,89817,8,56307,CoryBooker
