Date,Daily Followers Gained,Total Follower Count,Daily Followed Users,Total Followed Users,Daily Tweets Posted,Total Tweets Posted,Name
2018-02-14,113,6472,4,759,19,1630,AndrewYang
2018-02-15,43,6515,1,760,10,1640,AndrewYang
2018-02-16,35,6550,1,761,3,1643,AndrewYang
2018-02-17,47,6597,1,762,10,1653,AndrewYang
2018-02-18,89,6686,2,764,8,1661,AndrewYang
2018-02-19,17,6703,0,764,4,1665,AndrewYang
2018-02-20,11,6714,0,764,4,1669,AndrewYang
2018-02-21,17,6731,0,764,4,1673,AndrewYang
2018-02-22,13,6744,1,765,3,1676,AndrewYang
2018-02-23,11,6755,0,765,1,1677,AndrewYang
2018-02-24,24,6779,2,767,4,1681,AndrewYang
2018-02-25,6,6785,1,768,2,1683,AndrewYang
2018-02-26,11,6796,0,768,1,1684,AndrewYang
2018-02-27,4,6800,0,768,0,1684,AndrewYang
2018-02-28,17,6817,1,769,5,1689,AndrewYang
2018-03-01,23,6840,1,770,8,1697,AndrewYang
2018-03-02,43,6883,2,772,11,1708,AndrewYang
2018-03-03,15,6898,1,773,8,1716,AndrewYang
2018-03-04,8,6906,0,773,10,1726,AndrewYang
2018-03-05,6,6912,0,773,2,1728,AndrewYang
2018-03-06,12,6924,2,775,7,1735,AndrewYang
2018-03-07,48,6972,0,775,7,1742,AndrewYang
2018-03-08,86,7058,1,776,3,1745,AndrewYang
2018-03-09,57,7115,3,779,6,1751,AndrewYang
2018-03-10,23,7138,1,780,2,1753,AndrewYang
2018-03-11,18,7156,0,780,3,1756,AndrewYang
2018-03-12,17,7173,1,781,2,1758,AndrewYang
2018-03-13,16,7189,-1,780,6,1764,AndrewYang
2018-03-14,25,7214,0,780,0,1764,AndrewYang
2018-03-15,26,7240,0,780,6,1770,AndrewYang
2018-03-16,25,7265,0,780,1,1771,AndrewYang
2018-03-17,33,7298,0,780,8,1779,AndrewYang
2018-03-18,20,7318,0,780,1,1780,AndrewYang
2018-03-19,98,7416,4,784,13,1793,AndrewYang
2018-03-20,117,7533,0,784,7,1800,AndrewYang
2018-03-21,22,7555,1,785,9,1809,AndrewYang
2018-03-22,11,7566,0,785,5,1814,AndrewYang
2018-03-23,16,7582,1,786,1,1815,AndrewYang
2018-03-24,29,7611,1,787,5,1820,AndrewYang
2018-03-25,12,7623,0,787,6,1826,AndrewYang
2018-03-26,25,7648,3,790,3,1829,AndrewYang
2018-03-27,163,7811,0,790,2,1831,AndrewYang
2018-03-28,27,7838,0,790,6,1837,AndrewYang
2018-03-29,23,7861,1,791,9,1846,AndrewYang
2018-03-30,56,7917,2,793,8,1854,AndrewYang
2018-03-31,103,8020,1,794,2,1856,AndrewYang
2018-04-01,30,8050,1,795,4,1860,AndrewYang
2018-04-02,35,8085,0,795,1,1861,AndrewYang
2018-04-03,84,8169,0,795,12,1873,AndrewYang
2018-04-04,71,8240,2,797,15,1888,AndrewYang
2018-04-05,30,8270,1,798,10,1898,AndrewYang
2018-04-06,26,8296,0,798,6,1904,AndrewYang
2018-04-07,8,8304,1,799,7,1911,AndrewYang
2018-04-08,38,8342,1,800,11,1922,AndrewYang
2018-04-09,28,8370,0,800,1,1923,AndrewYang
2018-04-10,7,8377,0,800,1,1924,AndrewYang
2018-04-11,3,8380,3,803,4,1928,AndrewYang
2018-04-12,144,8524,0,803,3,1931,AndrewYang
2018-04-13,140,8664,1,804,15,1946,AndrewYang
2018-04-14,72,8736,2,806,3,1949,AndrewYang
2018-04-15,46,8782,3,809,1,1950,AndrewYang
2018-04-16,48,8830,0,809,1,1951,AndrewYang
2018-04-17,37,8867,1,810,2,1953,AndrewYang
2018-04-18,61,8928,3,813,7,1960,AndrewYang
2018-04-19,27,8955,0,813,5,1965,AndrewYang
2018-04-20,92,9047,4,817,17,1982,AndrewYang
2018-04-21,23,9070,0,817,6,1988,AndrewYang
2018-04-22,24,9094,0,817,0,1988,AndrewYang
2018-04-23,35,9129,1,818,7,1995,AndrewYang
2018-04-24,85,9214,0,818,2,1997,AndrewYang
2018-04-25,149,9363,1,819,13,2010,AndrewYang
2018-04-27,71,9434,3,822,11,2021,AndrewYang
2018-04-28,44,9478,1,823,4,2025,AndrewYang
2018-04-29,34,9512,2,825,7,2032,AndrewYang
2018-04-30,39,9551,1,826,6,2038,AndrewYang
2018-05-01,50,9601,1,827,10,2048,AndrewYang
2018-05-02,33,9634,4,831,18,2066,AndrewYang
2018-05-03,33,9667,0,831,2,2068,AndrewYang
2018-05-04,11,9678,1,832,3,2071,AndrewYang
2018-05-05,7,9685,1,833,1,2072,AndrewYang
2018-05-06,16,9701,0,833,4,2076,AndrewYang
2018-05-07,17,9718,2,835,6,2082,AndrewYang
2018-05-08,29,9747,1,836,5,2087,AndrewYang
2018-05-09,8,9755,0,836,2,2089,AndrewYang
2018-05-11,20,9775,0,836,7,2096,AndrewYang
2018-05-12,29,9804,112,948,6,2102,AndrewYang
2018-05-13,82,9886,-88,860,5,2107,AndrewYang
2018-05-14,33,9919,-172,688,6,2113,AndrewYang
2018-05-15,74,9993,185,873,11,2124,AndrewYang
2018-05-16,27,10020,17,890,5,2129,AndrewYang
2018-05-17,42,10062,16,906,6,2135,AndrewYang
2018-05-18,35,10097,53,959,3,2138,AndrewYang
2018-05-19,12,10109,11,970,0,2138,AndrewYang
2018-05-20,35,10144,-118,852,1,2139,AndrewYang
2018-05-21,69,10213,210,1062,11,2150,AndrewYang
2018-05-22,21,10234,-31,1031,6,2156,AndrewYang
2018-05-23,30,10264,-17,1014,9,2165,AndrewYang
2018-05-24,11,10275,-3,1011,5,2170,AndrewYang
2018-05-25,53,10328,-62,949,5,2175,AndrewYang
