Date,Daily Followed Users,Daily Followers Gained,Daily Tweets Posted,Name,Total Followed Users,Total Follower Count,Total Tweets Posted
2018-02-14,4,113,19,AndrewYang,759,6472,1630
2018-02-15,1,43,10,AndrewYang,760,6515,1640
2018-02-16,1,35,3,AndrewYang,761,6550,1643
2018-02-17,1,47,10,AndrewYang,762,6597,1653
2018-02-18,2,89,8,AndrewYang,764,6686,1661
2018-02-19,0,17,4,AndrewYang,764,6703,1665
2018-02-20,0,11,4,AndrewYang,764,6714,1669
2018-02-21,0,17,4,AndrewYang,764,6731,1673
2018-02-22,1,13,3,AndrewYang,765,6744,1676
2018-02-23,0,11,1,AndrewYang,765,6755,1677
2018-02-24,2,24,4,AndrewYang,767,6779,1681
2018-02-25,1,6,2,AndrewYang,768,6785,1683
2018-02-26,0,11,1,AndrewYang,768,6796,1684
2018-02-27,0,4,0,AndrewYang,768,6800,1684
2018-02-28,1,17,5,AndrewYang,769,6817,1689
2018-03-01,1,23,8,AndrewYang,770,6840,1697
2018-03-02,2,43,11,AndrewYang,772,6883,1708
2018-03-03,1,15,8,AndrewYang,773,6898,1716
2018-03-04,0,8,10,AndrewYang,773,6906,1726
2018-03-05,0,6,2,AndrewYang,773,6912,1728
2018-03-06,2,12,7,AndrewYang,775,6924,1735
2018-03-07,0,48,7,AndrewYang,775,6972,1742
2018-03-08,1,86,3,AndrewYang,776,7058,1745
2018-03-09,3,57,6,AndrewYang,779,7115,1751
2018-03-10,1,23,2,AndrewYang,780,7138,1753
2018-03-11,0,18,3,AndrewYang,780,7156,1756
2018-03-12,1,17,2,AndrewYang,781,7173,1758
2018-03-13,-1,16,6,AndrewYang,780,7189,1764
2018-03-14,0,25,0,AndrewYang,780,7214,1764
2018-03-15,0,26,6,AndrewYang,780,7240,1770
2018-03-16,0,25,1,AndrewYang,780,7265,1771
2018-03-17,0,33,8,AndrewYang,780,7298,1779
2018-03-18,0,20,1,AndrewYang,780,7318,1780
2018-03-19,4,98,13,AndrewYang,784,7416,1793
2018-03-20,0,117,7,AndrewYang,784,7533,1800
2018-03-21,1,22,9,AndrewYang,785,7555,1809
