Date,Daily Followers Gained,Total Follower Count,Daily Followed Users,Total Followed Users,Daily Tweets Posted,Total Tweets Posted,Name
2017-12-02,646,50658,1,558,6,2045,BetoORourke
2017-12-03,384,51042,0,558,8,2053,BetoORourke
2017-12-04,220,51262,1,559,6,2059,BetoORourke
2017-12-05,241,51503,0,559,4,2063,BetoORourke
2017-12-06,120,51623,1,560,0,2063,BetoORourke
2017-12-07,180,51803,0,560,8,2071,BetoORourke
2017-12-08,99,51902,0,560,2,2073,BetoORourke
2017-12-09,42,51944,0,560,0,2073,BetoORourke
2017-12-10,100,52044,0,560,2,2075,BetoORourke
2017-12-13,6806,58850,4,564,13,2088,BetoORourke
2017-12-16,5313,64163,2,566,25,2113,BetoORourke
2017-12-17,340,64503,1,567,5,2118,BetoORourke
2017-12-18,1390,65893,1,568,5,2123,BetoORourke
2017-12-19,223,66116,0,568,2,2125,BetoORourke
2017-12-20,684,66800,1,569,14,2139,BetoORourke
2017-12-21,481,67281,0,569,8,2147,BetoORourke
2017-12-22,2102,69383,1,570,5,2152,BetoORourke
2017-12-23,1344,70727,0,570,5,2157,BetoORourke
2017-12-24,298,71025,0,570,1,2158,BetoORourke
2017-12-25,456,71481,0,570,4,2162,BetoORourke
2017-12-26,168,71649,0,570,0,2162,BetoORourke
2017-12-27,443,72092,0,570,5,2167,BetoORourke
2017-12-28,461,72553,0,570,8,2175,BetoORourke
2017-12-29,672,73225,0,570,9,2184,BetoORourke
2017-12-30,1450,74675,0,570,8,2192,BetoORourke
2017-12-31,711,75386,2,572,2,2194,BetoORourke
2018-01-01,624,76010,0,572,11,2205,BetoORourke
2018-01-02,408,76418,0,572,3,2208,BetoORourke
2018-01-03,765,77183,1,573,8,2216,BetoORourke
2018-01-04,220,77403,0,573,9,2225,BetoORourke
2018-01-05,447,77850,0,573,24,2249,BetoORourke
2018-01-06,577,78427,0,573,11,2260,BetoORourke
2018-01-07,424,78851,0,573,12,2272,BetoORourke
2018-01-08,195,79046,0,573,7,2279,BetoORourke
2018-01-09,152,79198,0,573,4,2283,BetoORourke
2018-01-10,124,79322,0,573,5,2288,BetoORourke
2018-01-11,408,79730,0,573,15,2303,BetoORourke
2018-01-12,271,80001,0,573,8,2311,BetoORourke
2018-01-13,241,80242,0,573,9,2320,BetoORourke
2018-01-14,189,80431,0,573,15,2335,BetoORourke
2018-01-15,107,80538,0,573,5,2340,BetoORourke
2018-01-16,986,81524,0,573,3,2343,BetoORourke
2018-01-17,691,82215,0,573,4,2347,BetoORourke
2018-01-18,140,82355,0,573,1,2348,BetoORourke
2018-01-19,305,82660,0,573,10,2358,BetoORourke
2018-01-20,205,82865,1,574,4,2362,BetoORourke
2018-01-21,405,83270,0,574,5,2367,BetoORourke
2018-01-22,331,83601,0,574,0,2367,BetoORourke
2018-01-23,361,83962,4,578,11,2378,BetoORourke
2018-01-24,459,84421,0,578,11,2389,BetoORourke
2018-01-25,611,85032,0,578,2,2391,BetoORourke
2018-01-26,1479,86511,0,578,11,2402,BetoORourke
2018-01-27,1137,87648,2,580,12,2414,BetoORourke
2018-01-28,1101,88749,2,582,22,2436,BetoORourke
2018-01-29,2099,90848,0,582,31,2467,BetoORourke
2018-01-30,792,91640,0,582,4,2471,BetoORourke
2018-01-31,797,92437,2,584,4,2475,BetoORourke
2018-02-01,692,93129,0,584,9,2484,BetoORourke
2018-02-02,1886,95015,0,584,2,2486,BetoORourke
2018-02-03,1250,96265,1,585,4,2490,BetoORourke
2018-02-04,500,96765,0,585,2,2492,BetoORourke
2018-02-05,390,97155,0,585,1,2493,BetoORourke
2018-02-06,398,97553,1,586,7,2500,BetoORourke
2018-02-07,306,97859,1,587,9,2509,BetoORourke
2018-02-08,280,98139,0,587,3,2512,BetoORourke
2018-02-09,174,98313,1,588,2,2514,BetoORourke
2018-02-10,207,98520,0,588,9,2523,BetoORourke
2018-02-11,283,98803,0,588,6,2529,BetoORourke
2018-02-12,274,99077,0,588,9,2538,BetoORourke
2018-02-13,401,99478,-1,587,12,2550,BetoORourke
2018-02-14,611,100089,0,587,7,2557,BetoORourke
2018-02-15,378,100467,0,587,2,2559,BetoORourke
2018-02-16,507,100974,1,588,10,2569,BetoORourke
2018-02-17,554,101528,0,588,12,2581,BetoORourke
2018-02-18,343,101871,1,589,7,2588,BetoORourke
2018-02-19,400,102271,0,589,8,2596,BetoORourke
2018-02-20,545,102816,1,590,7,2603,BetoORourke
2018-02-21,595,103411,0,590,8,2611,BetoORourke
2018-02-22,901,104312,1,591,11,2622,BetoORourke
2018-02-23,1193,105505,1,592,11,2633,BetoORourke
2018-02-24,1072,106577,0,592,9,2642,BetoORourke
2018-02-25,1843,108420,2,594,13,2655,BetoORourke
2018-02-26,4580,113000,2,596,15,2670,BetoORourke
2018-02-27,1919,114919,2,598,2,2672,BetoORourke
2018-02-28,4212,119131,1,599,12,2684,BetoORourke
2018-03-01,777,119908,0,599,11,2695,BetoORourke
2018-03-02,546,120454,1,600,8,2703,BetoORourke
2018-03-03,736,121190,0,600,5,2708,BetoORourke
2018-03-04,633,121823,0,600,3,2711,BetoORourke
2018-03-05,729,122552,0,600,3,2714,BetoORourke
2018-03-06,1930,124482,0,600,9,2723,BetoORourke
2018-03-07,7741,132223,0,600,13,2736,BetoORourke
2018-03-08,5596,137819,0,600,1,2737,BetoORourke
2018-03-09,2108,139927,1,601,4,2741,BetoORourke
2018-03-10,1370,141297,0,601,4,2745,BetoORourke
2018-03-11,940,142237,1,602,5,2750,BetoORourke
2018-03-12,2024,144261,0,602,7,2757,BetoORourke
2018-03-13,1195,145456,0,602,1,2758,BetoORourke
2018-03-14,929,146385,3,605,5,2763,BetoORourke
2018-03-15,1211,147596,0,605,6,2769,BetoORourke
2018-03-16,787,148383,6,611,8,2777,BetoORourke
2018-03-17,1363,149746,0,611,4,2781,BetoORourke
2018-03-18,1198,150944,0,611,2,2783,BetoORourke
2018-03-19,1467,152411,0,611,2,2785,BetoORourke
2018-03-20,1115,153526,1,612,5,2790,BetoORourke
2018-03-21,1517,155043,0,612,6,2796,BetoORourke
2018-03-22,580,155623,0,612,3,2799,BetoORourke
2018-03-23,278,155901,1,613,9,2808,BetoORourke
2018-03-24,977,156878,-1,612,2,2810,BetoORourke
2018-03-25,831,157709,0,612,6,2816,BetoORourke
2018-03-26,436,158145,-1,611,4,2820,BetoORourke
2018-03-27,477,158622,0,611,4,2824,BetoORourke
2018-03-28,319,158941,0,611,7,2831,BetoORourke
2018-03-29,559,159500,0,611,10,2841,BetoORourke
2018-03-30,219,159719,2,613,6,2847,BetoORourke
2018-03-31,215,159934,0,613,3,2850,BetoORourke
2018-04-01,256,160190,0,613,3,2853,BetoORourke
2018-04-02,152,160342,0,613,5,2858,BetoORourke
2018-04-03,1456,161798,1,614,6,2864,BetoORourke
2018-04-04,1517,163315,0,614,14,2878,BetoORourke
2018-04-05,844,164159,0,614,8,2886,BetoORourke
2018-04-06,535,164694,0,614,11,2897,BetoORourke
2018-04-07,214,164908,0,614,3,2900,BetoORourke
2018-04-08,738,165646,0,614,15,2915,BetoORourke
2018-04-09,533,166179,1,615,11,2926,BetoORourke
2018-04-10,444,166623,1,616,5,2931,BetoORourke
2018-04-11,557,167180,0,616,18,2949,BetoORourke
2018-04-12,294,167474,0,616,4,2953,BetoORourke
2018-04-13,370,167844,0,616,8,2961,BetoORourke
2018-04-14,364,168208,0,616,9,2970,BetoORourke
2018-04-15,260,168468,0,616,0,2970,BetoORourke
2018-04-16,490,168958,0,616,21,2991,BetoORourke
2018-04-17,227,169185,1,617,2,2993,BetoORourke
2018-04-18,193,169378,1,618,6,2999,BetoORourke
2018-04-19,1297,170675,0,618,3,3002,BetoORourke
2018-04-20,2017,172692,1,619,15,3017,BetoORourke
2018-04-21,972,173664,0,619,8,3025,BetoORourke
2018-04-22,329,173993,0,619,4,3029,BetoORourke
2018-04-23,285,174278,1,620,7,3036,BetoORourke
2018-04-24,355,174633,-1,619,4,3040,BetoORourke
2018-04-25,382,175015,2,621,4,3044,BetoORourke
2018-04-26,241,175256,0,621,6,3050,BetoORourke
2018-04-27,186,175442,0,621,5,3055,BetoORourke
2018-04-28,136,175578,0,621,19,3074,BetoORourke
2018-04-29,121,175699,0,621,6,3080,BetoORourke
2018-04-30,240,175939,0,621,12,3092,BetoORourke
