Date,Daily Followers Gained,Total Follower Count,Daily Followed Users,Total Followed Users,Daily Tweets Posted,Total Tweets Posted,Name
2016-11-16,226,84392,1,3155,0,6084,TulsiGabbard
2016-11-17,141,84533,0,3155,4,6088,TulsiGabbard
2016-11-18,219,84752,0,3155,1,6089,TulsiGabbard
2016-11-19,205,84957,-2,3153,8,6097,TulsiGabbard
2016-11-20,134,85091,0,3153,0,6097,TulsiGabbard
2016-11-21,56,85147,0,3153,0,6097,TulsiGabbard
2016-11-22,5753,90900,1,3154,8,6105,TulsiGabbard
2016-11-23,796,91696,2,3156,2,6107,TulsiGabbard
2016-11-24,1317,93013,1,3157,6,6113,TulsiGabbard
2016-11-25,339,93352,1,3158,1,6114,TulsiGabbard
2016-11-26,328,93680,1,3159,5,6119,TulsiGabbard
2016-11-27,728,94408,-1,3158,5,6124,TulsiGabbard
2016-11-28,294,94702,0,3158,1,6125,TulsiGabbard
2016-11-29,707,95409,8,3166,9,6134,TulsiGabbard
2016-11-30,398,95807,0,3166,11,6145,TulsiGabbard
2016-12-01,252,96059,1,3167,7,6152,TulsiGabbard
2016-12-02,493,96552,1,3168,7,6159,TulsiGabbard
2016-12-03,1457,98009,1,3169,2,6161,TulsiGabbard
2016-12-04,1836,99845,0,3169,12,6173,TulsiGabbard
2016-12-05,379,100224,0,3169,2,6175,TulsiGabbard
2016-12-06,571,100795,1,3170,2,6177,TulsiGabbard
2016-12-07,194,100989,0,3170,2,6179,TulsiGabbard
2016-12-08,339,101328,-1,3169,4,6183,TulsiGabbard
2016-12-09,125,101453,0,3169,0,6183,TulsiGabbard
2016-12-10,294,101747,0,3169,9,6192,TulsiGabbard
2016-12-11,667,102414,3,3172,8,6200,TulsiGabbard
2016-12-12,618,103032,-3,3169,8,6208,TulsiGabbard
2016-12-13,272,103304,1,3170,5,6213,TulsiGabbard
2016-12-14,101,103405,1,3171,4,6217,TulsiGabbard
2016-12-15,745,104150,0,3171,3,6220,TulsiGabbard
2016-12-16,271,104421,3,3174,5,6225,TulsiGabbard
2016-12-17,927,105348,0,3174,10,6235,TulsiGabbard
