Date,Daily Followers Gained,Total Follower Count,Daily Followed Users,Total Followed Users,Daily Tweets Posted,Total Tweets Posted,Name
2016-06-22,21373,9239930,-1,39,7,32338,realDonaldTrump
2016-06-23,19126,9259056,1,40,16,32354,realDonaldTrump
2016-06-24,32294,9291350,0,40,12,32366,realDonaldTrump
2016-06-25,23319,9314669,1,41,8,32374,realDonaldTrump
2016-06-26,19617,9334286,0,41,16,32390,realDonaldTrump
2016-06-27,20358,9354644,0,41,2,32392,realDonaldTrump
2016-06-28,26782,9381426,0,41,13,32405,realDonaldTrump
2016-06-29,11094,9392520,0,41,5,32410,realDonaldTrump
2016-06-30,27660,9420180,0,41,15,32425,realDonaldTrump
2016-07-01,17291,9437471,0,41,11,32436,realDonaldTrump
2016-07-02,16970,9454441,0,41,12,32448,realDonaldTrump
2016-07-03,18965,9473406,0,41,8,32456,realDonaldTrump
2016-07-04,21374,9494780,0,41,13,32469,realDonaldTrump
2016-07-05,40465,9535245,0,41,7,32476,realDonaldTrump
2016-07-06,22598,9557843,0,41,15,32491,realDonaldTrump
2016-07-07,22661,9580504,0,41,6,32497,realDonaldTrump
2016-07-08,30094,9610598,0,41,5,32502,realDonaldTrump
2016-07-09,17962,9628560,1,42,2,32504,realDonaldTrump
2016-07-10,16068,9644628,0,42,4,32508,realDonaldTrump
2016-07-11,15027,9659655,-1,41,5,32513,realDonaldTrump
2016-07-12,21272,9680927,0,41,13,32526,realDonaldTrump
2016-07-13,19161,9700088,0,41,15,32541,realDonaldTrump
2016-07-14,26236,9726324,0,41,7,32548,realDonaldTrump
2016-07-15,41797,9768121,0,41,3,32551,realDonaldTrump
2016-07-16,23491,9791612,1,42,7,32558,realDonaldTrump
2016-07-17,25613,9817225,0,42,17,32575,realDonaldTrump
2016-07-18,17165,9834390,0,42,7,32582,realDonaldTrump
2016-07-19,40872,9875262,0,42,6,32588,realDonaldTrump
2016-07-20,50109,9925371,0,42,9,32597,realDonaldTrump
2016-07-21,55161,9980532,0,42,16,32613,realDonaldTrump
2016-07-22,58413,10038945,1,43,7,32620,realDonaldTrump
2016-07-23,36713,10075658,0,43,16,32636,realDonaldTrump
2016-07-24,36781,10112439,0,43,17,32653,realDonaldTrump
2016-07-25,48552,10160991,1,44,18,32671,realDonaldTrump
