Candidate,Bovada,PredictIt,Smarkets,Average 
Beto O'Rourke,18.2,21,22.2,20.5
Kamala Harris,18.2,19,18.9,18.7
Joe Biden,14.3,17,14.3,15.2
Bernie Sanders,12.5,12,10.2,11.6
Elizabeth Warren,11.8,11,8.3,10.4
Cory Booker,7.7,8,5.9,7.2
Sherrod Brown,,7,7.1,7.1
Kirsten Gillibrand,6.3,8,5.9,6.7
Amy Klobuchar,3.7,8,7.4,6.4
Tulsi Gabbard,4.8,,5.4,5.1
Oprah Winfrey,5.3,3,4.8,4.4
Hillary Clinton,6.3,2,4,4.1
Julian Castro,3.7,,4.2,4
Tom Steyer,3.7,,,3.7
Joe Kennedy III,3.7,,,3.7
Tom Wolf,3.7,,,3.7
Michelle Obama,2.4,,4.4,3.4
Michael Bloomberg,,3,,3
Andrew Cuomo,3.7,1,1.3,2
Chris Murphy,,2,1.1,1.6
Michael Avenatti,,1.5,,1.5
Mark Warner,,,1.3,1.3
Mark Zuckerberg,,1,1.4,1.2
Jerry Brown,,1,1.3,1.2
Tim Kaine,,1,,1
Dwayne Johnson,,1,,1
John Delaney,,1,,1
